
SunOS sol10 5.10 Generic_137111-07 sun4u    08/24/2011

07:21:54 scall/s sread/s swrit/s  fork/s  exec/s rchar/s wchar/s
07:21:59    2792      28      22    1.35    0.00    5584   92823
07:22:05    2660      33      56    1.95    0.39   94728   12765
07:22:10    6470     457      48   18.83   13.59  836655  123571
07:22:15    5026     538      32    8.54    5.83 1075740   17796
07:22:20    8330     108      54    3.88    1.55   98032  107656
07:22:25     822      17      17    3.10    0.78   15704    3776
07:22:30    1848      49      27    3.11    0.39   84383  115631
07:22:35    3259      35      58    2.33    0.39   54842   13118
07:22:41    2113      49      27    5.25    2.53  150399   96982
07:22:46     542      13      13    0.19    0.00    2770   12836

Average     3387     133      35    4.85    2.54  241730   59699
